Company_ID,Industry_Niche,Current_Gateway,Monthly_Volume_USD,Effective_Monthly_Fee_Lost_USD,Projected_24M_LTV_USD,Probability_to_Convert,Optimized_Target_CAC_USD,GTM_Target_Priority
IND-1000,IT Service Agency,Traditional Bank,20121.38,740.21,4358.29,0.8017,1048.21,High Propensity (>75%)
IND-1001,D2C E-commerce,PayPal,9374.07,293.47,2030.42,0.1406,85.64,Low Propensity (<40%)
IND-1002,Freelance Developer,Payoneer,5777.64,140.69,1251.44,0.09,33.79,Low Propensity (<40%)
IND-1003,SaaS Startup,Traditional Bank,12956.76,587.09,2806.43,0.8006,674.05,High Propensity (>75%)
IND-1004,IT Service Agency,Payoneer,46126.34,1005.13,9990.97,0.1737,520.63,Low Propensity (<40%)
IND-1005,IT Service Agency,Traditional Bank,34288.8,1243.49,7426.95,0.7898,1759.74,High Propensity (>75%)
IND-1006,IT Service Agency,Payoneer,35855.95,608.01,7766.4,0.1336,311.28,Low Propensity (<40%)
IND-1007,Freelance Developer,Payoneer,4443.25,81.32,962.41,0.0346,9.99,Low Propensity (<40%)
IND-1008,Freelance Developer,Traditional Bank,6545.7,193.02,1417.8,0.0918,39.04,Low Propensity (<40%)
IND-1009,Freelance Developer,PayPal,6566.32,251.67,1422.26,0.1373,58.58,Low Propensity (<40%)
IND-1010,IT Service Agency,Traditional Bank,38350.54,1513.4,8306.73,0.7953,1981.9,High Propensity (>75%)
IND-1011,D2C E-commerce,Payoneer,17823.95,529.39,3860.67,0.817,946.25,High Propensity (>75%)
IND-1012,Freelance Developer,PayPal,4575.82,144.21,991.12,0.0993,29.53,Low Propensity (<40%)
IND-1013,IT Service Agency,PayPal,40422.03,1613.26,8755.41,0.7958,2090.27,High Propensity (>75%)
IND-1014,IT Service Agency,Traditional Bank,31621.22,1242.41,6849.16,0.7834,1609.69,High Propensity (>75%)
IND-1015,IT Service Agency,Traditional Bank,35022.32,1352.44,7585.83,0.7922,1802.85,High Propensity (>75%)
IND-1016,IT Service Agency,Traditional Bank,32253.56,1530.97,6986.12,0.7967,1669.75,High Propensity (>75%)
IND-1017,SaaS Startup,Traditional Bank,17256.69,524.58,3737.8,0.8112,909.63,High Propensity (>75%)
IND-1018,SaaS Startup,PayPal,15865.33,497.04,3436.43,0.8155,840.72,High Propensity (>75%)
IND-1019,IT Service Agency,Payoneer,39676.9,1019.66,8594.02,0.7653,1973.1,High Propensity (>75%)
IND-1020,Freelance Developer,PayPal,7621.21,272.42,1650.75,0.1216,60.22,Low Propensity (<40%)
IND-1021,IT Service Agency,PayPal,46711.02,1443.65,10117.61,0.8005,2429.74,High Propensity (>75%)
IND-1022,IT Service Agency,Stripe,22434.35,397.05,4859.28,0.0704,102.63,Low Propensity (<40%)
IND-1023,IT Service Agency,Payoneer,47892.03,967.46,10373.41,0.1447,450.31,Low Propensity (<40%)
IND-1024,SaaS Startup,Stripe,18091.05,386.82,3918.52,0.0774,90.99,Low Propensity (<40%)
IND-1025,Freelance Developer,PayPal,6201.47,206.19,1343.24,0.084,33.85,Low Propensity (<40%)
IND-1026,IT Service Agency,Traditional Bank,25937.85,947.64,5618.14,0.7948,1339.59,High Propensity (>75%)
IND-1027,SaaS Startup,Traditional Bank,20851.88,798.95,4516.52,0.7961,1078.68,High Propensity (>75%)
IND-1028,SaaS Startup,Payoneer,21882.34,490.53,4739.71,0.1487,211.44,Low Propensity (<40%)
IND-1029,IT Service Agency,Traditional Bank,20153.95,1024.18,4365.35,0.8155,1067.98,High Propensity (>75%)
IND-1030,Freelance Developer,Traditional Bank,6216.53,166.32,1346.5,0.0874,35.3,Low Propensity (<40%)
IND-1031,IT Service Agency,PayPal,48459.35,2189.2,10496.3,0.811,2553.75,High Propensity (>75%)
IND-1032,IT Service Agency,PayPal,33253.52,1328.83,7202.71,0.7876,1701.86,High Propensity (>75%)
IND-1033,D2C E-commerce,PayPal,21800.84,934.44,4722.06,0.7962,1127.91,High Propensity (>75%)
IND-1034,D2C E-commerce,Traditional Bank,14051.53,517.1,3043.56,0.8039,734.02,High Propensity (>75%)
IND-1035,Freelance Developer,Traditional Bank,6699.17,246.97,1451.04,0.129,56.15,Low Propensity (<40%)
IND-1036,IT Service Agency,PayPal,12814.3,566.36,2775.58,0.8013,667.22,High Propensity (>75%)
IND-1037,IT Service Agency,Stripe,59187.78,1443.09,12820.07,0.3123,1201.11,Low Propensity (<40%)
IND-1038,Freelance Developer,Payoneer,7990.92,152.57,1730.83,0.0998,51.82,Low Propensity (<40%)
IND-1039,SaaS Startup,Stripe,18292.25,319.67,3962.1,0.0668,79.4,Low Propensity (<40%)
IND-1040,IT Service Agency,Payoneer,15279.11,353.69,3309.46,0.117,116.16,Low Propensity (<40%)
IND-1041,SaaS Startup,PayPal,21728.17,981.78,4706.32,0.793,1119.63,High Propensity (>75%)
IND-1042,IT Service Agency,Traditional Bank,20560.74,697.59,4453.46,0.8075,1078.85,High Propensity (>75%)
IND-1043,D2C E-commerce,PayPal,17224.27,694.28,3730.78,0.8032,898.97,High Propensity (>75%)
IND-1044,IT Service Agency,PayPal,39115.66,1626.49,8472.45,0.7982,2028.81,High Propensity (>75%)
IND-1045,Freelance Developer,PayPal,3117.19,131.93,675.18,0.1237,25.06,Low Propensity (<40%)
IND-1046,IT Service Agency,PayPal,46209.67,1848.87,10009.01,0.7972,2393.75,High Propensity (>75%)
IND-1047,SaaS Startup,PayPal,24833.45,908.16,5378.93,0.7805,1259.47,High Propensity (>75%)
IND-1048,SaaS Startup,Traditional Bank,25854.94,1292.98,5600.18,0.8142,1367.9,High Propensity (>75%)
IND-1049,IT Service Agency,PayPal,35088.58,1391.31,7600.19,0.7963,1815.61,High Propensity (>75%)
IND-1050,D2C E-commerce,Traditional Bank,7922.38,356.88,1715.99,0.1433,73.77,Low Propensity (<40%)
IND-1051,Freelance Developer,Payoneer,6955.74,142.49,1506.61,0.1,45.2,Low Propensity (<40%)
IND-1052,D2C E-commerce,Traditional Bank,13648.14,580.16,2956.19,0.7996,709.13,High Propensity (>75%)
IND-1053,Freelance Developer,Traditional Bank,2220.44,70.76,480.95,0.0513,7.4,Low Propensity (<40%)
IND-1054,SaaS Startup,PayPal,28112.24,976.81,6089.11,0.794,1450.42,High Propensity (>75%)
IND-1055,D2C E-commerce,PayPal,25497.04,1054.05,5522.66,0.795,1317.15,High Propensity (>75%)
IND-1056,IT Service Agency,PayPal,34587.52,1339.94,7491.66,0.7922,1780.47,High Propensity (>75%)
IND-1057,IT Service Agency,Traditional Bank,56591.21,2439.94,12257.66,0.7818,2874.91,High Propensity (>75%)
IND-1058,IT Service Agency,PayPal,35913.15,1255.65,7778.79,0.7891,1841.47,High Propensity (>75%)
IND-1059,IT Service Agency,Traditional Bank,31195.44,1275.66,6756.93,0.7887,1598.76,High Propensity (>75%)
IND-1060,IT Service Agency,Stripe,28695.42,575.33,6215.43,0.1346,250.98,Low Propensity (<40%)
IND-1061,IT Service Agency,Stripe,51370.82,1117.32,11126.92,0.269,897.94,Low Propensity (<40%)
IND-1062,Freelance Developer,PayPal,3439.71,121.68,745.04,0.1171,26.17,Low Propensity (<40%)
IND-1063,IT Service Agency,Traditional Bank,42352.69,1863.7,9173.59,0.7801,2146.9,High Propensity (>75%)
IND-1064,IT Service Agency,Payoneer,29408.36,801.31,6369.85,0.7595,1451.37,High Propensity (>75%)
IND-1065,SaaS Startup,Traditional Bank,17238.16,556.35,3733.79,0.8078,904.85,High Propensity (>75%)
